Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Dylan Larkin,24,C,DET,17.3,3.22,1.04,17.3,3.22,1.04,21.56,18,30,48,11,46,31,50,571,510,62,38,188,787,765,39,,212
Tyler Seguin,29,"C,RW",DAL,15.69,2.59,0.91,15.69,2.59,0.91,19.2,21,26,47,15,62,26,20,446,341,36,27,189,766,763,41,,210.2
Filip Forsberg,26,LW,NSH,14.06,2.98,1.14,14.06,2.98,1.14,18.18,21,26,47,14,75,29,25,2,4,48,48,170,725,738,43,,207.6
Brady Tkachuk,21,LW,OTT,16.04,3.07,0,16.04,3.07,0,19.12,24,19,43,10,218,32,83,104,117,34,25,205,768,780,35,,206.8
Gabriel Landeskog,28,"C,LW",COL,15.98,3.7,0,15.98,3.7,0,19.67,22,24,46,14,93,37,42,238,200,26,38,153,693,706,47,,205.4
Teuvo Teravainen,26,"LW,RW",CAR,14.32,3.01,1.6,14.32,3.01,1.6,18.94,14,38,52,19,17,20,8,18,21,34,37,137,667,680,52,,205.4
Andrei Svechnikov,20,"LW,RW",CAR,14.19,3.06,0,14.19,3.06,0,17.25,21,27,48,14,96,22,51,3,3,51,25,157,683,696,49,,205.2
Brent Burns,35,D,SJ,19.55,2.67,2.31,19.55,2.67,2.31,24.53,9,33,42,14,57,83,26,0,0,47,38,168,766,822,29,,201.8
Nicklas Backstrom,33,C,WSH,14.68,3.56,0.98,14.68,3.56,0.98,19.22,12,38,50,17,26,34,17,464,466,38,33,122,630,608,66,,200
Brock Boeser,23,RW,VAN,14.81,3.99,0,14.81,3.99,0,18.8,21,25,46,16,22,16,16,16,25,25,21,166,647,644,59,,198.6
Bryan Rust,28,"LW,RW",PIT,14.92,2.32,1.8,14.92,2.32,1.8,19.03,20,25,45,13,78,39,36,4,11,33,27,139,634,647,58,,198.4
Kris Letang,33,D,PIT,19.65,3.25,2.18,19.65,3.25,2.18,25.09,10,31,41,16,89,84,39,0,0,50,33,159,731,787,33,,198.4
Sean Monahan,26,C,CGY,15.27,3.04,0,15.27,3.04,0,18.31,22,25,47,14,39,16,20,434,393,31,40,143,608,586,71,,198
Sean Couturier,28,C,PHI,15.12,2.82,2.18,15.12,2.82,2.18,20.11,20,26,46,10,44,27,27,428,313,29,31,146,629,606,68,,198
Alex DeBrincat,23,"LW,RW",CHI,14.28,3.57,0,14.28,3.57,0,17.84,22,23,45,16,39,17,9,11,14,30,31,167,639,651,56,,197.2
Dougie Hamilton,27,D,CAR,17.7,2.88,2.39,17.7,2.88,2.39,22.97,13,27,40,13,71,71,42,0,0,44,33,176,724,779,36,,196.6
Claude Giroux,33,"C,LW,RW",PHI,14.72,3.07,1.11,14.72,3.07,1.11,18.9,15,34,49,17,26,14,20,474,343,29,28,143,608,621,64,,196.2
Anthony Mantha,26,"LW,RW",DET,15.73,2.97,0,15.73,2.97,0,18.7,20,24,44,11,61,27,47,19,27,46,28,164,639,651,56,,195.6
Bo Horvat,25,C,VAN,15.77,3.66,0,15.77,3.66,0,19.42,19,24,43,13,39,43,17,613,486,22,20,148,630,608,66,,194.8
J.T. Miller,27,"LW,RW",VAN,14.8,3.55,0,14.8,3.55,0,18.36,17,31,48,18,93,23,34,287,223,38,35,123,576,589,70,,194.8
Jonathan Toews,32,C,CHI,14.4,3.19,1.92,14.4,3.19,1.92,19.51,17,29,46,11,35,25,35,635,493,31,45,143,599,577,74,,193.6
Max Pacioretty,32,LW,VGK,14.9,2.35,0,14.9,2.35,0,17.25,20,22,42,11,84,23,32,29,28,37,24,187,648,661,54,,192.6
Travis Konecny,23,"C,RW",PHI,14.01,2.82,0,14.01,2.82,0,16.84,18,27,45,14,55,29,30,15,17,37,25,135,577,575,75,,191.6
Anze Kopitar,33,C,LA,16.04,2.72,1.82,16.04,2.72,1.82,20.58,15,31,46,15,35,42,15,592,499,41,31,108,557,535,81,,191.4
Tomas Hertl,27,"C,LW",SJ,14.31,2.64,1.58,14.31,2.64,1.58,18.52,21,22,43,9,40,37,22,473,412,26,35,132,574,586,71,,191.2
Erik Karlsson,30,D,SJ,18.83,2.95,2.44,18.83,2.95,2.44,24.22,5,38,43,16,34,75,19,0,0,43,35,136,651,707,46,,191.2
Victor Hedman,30,D,TB,18.19,3.07,2.3,18.19,3.07,2.3,23.56,9,32,41,16,65,79,31,0,0,40,33,137,648,704,48,,191
Elias Lindholm,26,"C,RW",CGY,14.65,2.95,2.26,14.65,2.95,2.26,19.86,18,27,45,14,70,30,17,322,306,28,31,128,562,559,79,,190.6
Evander Kane,29,LW,SJ,15.25,2.45,1.28,15.25,2.45,1.28,18.98,22,19,41,12,118,21,92,83,86,38,37,183,619,632,62,,190
Logan Couture,31,C,SJ,13.75,2.7,1.68,13.75,2.7,1.68,18.13,17,26,43,12,46,45,18,176,226,27,35,127,571,549,80,,189.4
Ryan O'Reilly,29,C,STL,15.4,2.9,2.15,15.4,2.9,2.15,20.44,14,32,46,15,18,29,8,678,529,20,52,120,538,515,84,,187.6
Brendan Gallagher,28,RW,MON,14.49,2.04,0,14.49,2.04,0,16.52,23,15,38,4,59,26,26,21,24,17,35,194,614,611,65,,186.2
Evgeny Kuznetsov,28,C,WSH,14.39,3.32,0,14.39,3.32,0,17.7,15,32,47,15,30,14,35,294,381,43,23,121,509,487,94,,185.8
William Nylander,24,"C,LW,RW",TOR,15.13,2.83,0,15.13,2.83,0,17.97,17,27,44,12,13,13,11,149,130,34,36,157,554,567,78,,185.6
Morgan Rielly,26,D,TOR,19.76,2.38,1.85,19.76,2.38,1.85,23.98,7,32,39,13,42,76,25,0,0,42,35,148,619,675,53,,184
Timo Meier,24,"LW,RW",SJ,14.6,2.11,0.97,14.6,2.11,0.97,17.68,21,18,39,6,104,31,39,21,27,28,35,167,569,582,73,,183.8
Jonathan Marchessault,30,"C,LW",VGK,14.78,2.19,0,14.78,2.19,0,16.98,18,24,42,11,75,13,25,82,101,41,33,172,561,574,76,,183.6
Alex Pietrangelo,31,D,STL,18.96,3.03,1.89,18.96,3.03,1.89,23.88,10,26,36,14,38,87,18,0,0,39,33,153,628,684,50,,183.4
Pierre-Luc Dubois,22,C,CBJ,15.54,2.79,0,15.54,2.79,0,18.32,17,24,41,9,77,38,45,304,379,35,24,132,520,498,88,,181.6
Mike Hoffman,31,"LW,RW",FLA,12.98,3.46,0,12.98,3.46,0,16.44,18,24,42,18,23,17,21,7,8,45,27,151,519,531,83,,181
Mark Giordano,37,D,CGY,18.04,2.66,2.63,18.04,2.66,2.63,23.33,7,26,33,10,43,118,37,0,0,39,34,137,627,683,51,,180.6
Ryan Ellis,30,D,NSH,18.76,2.13,2.49,18.76,2.13,2.49,23.38,8,27,35,6,48,106,16,0,0,40,38,121,583,639,60,,179.6
David Perron,32,"LW,RW",STL,14.91,2.81,0,14.91,2.81,0,17.72,16,29,45,16,61,14,46,20,23,25,34,114,456,469,101,,179.4
