Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Paul Stastny,35,C,VGK,13.54,2.14,1.05,13.54,2.14,1.05,16.73,13,21,34,6,41,22,20,472,393,16,31,102,226,203,224,,144.2
Jared Spurgeon,31,D,MIN,17.55,2.32,2.5,17.55,2.32,2.5,22.36,8,18,26,8,56,94,14,0,0,35,29,103,315,371,144,,144.2
Gustav Nyquist,31,"LW,RW",CBJ,14.57,2.34,0,14.57,2.34,0,16.91,13,20,33,7,29,19,12,9,10,35,22,122,250,262,184,,144
Adam Henrique,30,"C,LW",ANA,13.48,2.22,1.28,13.48,2.22,1.28,16.99,16,14,30,7,51,36,14,391,338,22,24,113,243,256,190,,143
Mats Zuccarello,33,RW,MIN,13.37,2.45,1.42,13.37,2.45,1.42,17.25,11,21,32,8,25,38,20,9,15,25,38,100,231,228,206,,142.2
Jake Muzzin,31,D,TOR,18.4,1.09,2.36,18.4,1.09,2.36,21.86,5,20,25,4,122,103,37,0,0,41,30,105,320,376,140,,142.2
Jaccob Slavin,26,D,CAR,19.32,0.99,2.96,19.32,0.99,2.96,23.28,5,21,26,3,38,92,10,0,0,41,36,110,313,369,145,,141.8
Nikita Gusev,28,"LW,RW",NJ,11.94,2.45,0,11.94,2.45,0,14.39,11,23,34,12,11,8,11,1,2,35,18,126,230,243,196,,141.4
Jean-Gabriel Pageau,28,C,NYI,14.93,1.58,2.21,14.93,1.58,2.21,18.72,13,15,28,5,102,49,38,471,407,29,25,123,266,243,196,,141.2
Brandon Saad,28,"LW,RW",CHI,13.69,1.18,1.83,13.69,1.18,1.83,16.71,16,14,30,1,30,18,14,26,35,21,33,138,245,258,187,,140.8
Charlie McAvoy,23,D,BOS,20.08,1.34,1.85,20.08,1.34,1.85,23.27,5,21,26,2,113,100,41,0,0,44,31,89,285,341,154,,140.8
Jakob Chychrun,22,D,ARI,19.02,2.3,1.68,19.02,2.3,1.68,22.99,8,16,24,7,79,88,33,0,0,41,30,128,322,378,137,,140.8
Andreas Johnsson,26,"LW,RW",TOR,13.22,1.98,0,13.22,1.98,0,15.2,13,19,32,7,51,27,21,2,5,22,16,104,211,223,210,,140.6
Andre Burakovsky,25,"LW,RW",COL,12.48,2.21,0,12.48,2.21,0,14.69,13,19,32,8,28,29,23,9,12,31,24,98,202,214,217,,140.2
Ilya Mikheyev,26,"LW,RW",TOR,13.53,0,1.98,13.53,0,1.98,15.52,12,19,31,0,38,19,7,5,2,19,34,136,244,257,189,,139.8
Mikhail Sergachev,22,D,TB,17.58,1.73,1.29,17.58,1.73,1.29,20.61,6,21,27,8,88,79,40,0,0,38,28,105,276,332,156,,139.6
Ondrej Palat,29,LW,TB,13.58,1.31,1.04,13.58,1.31,1.04,15.93,11,19,30,5,103,46,16,5,15,32,30,100,222,234,204,,139.4
Boone Jenner,27,vanr,CBJ,14.36,1.7,1.79,14.36,1.7,1.79,17.85,12,13,25,2,111,60,35,439,373,20,23,141,292,305,171,,139.2
Oskar Lindblom,24,LW,PHI,13.68,2.08,1.03,13.68,2.08,1.03,16.79,16,12,28,5,58,32,11,15,23,21,24,131,239,251,193,,139
Conor Garland,24,"LW,RW",ARI,11.94,2.26,0,11.94,2.26,0,14.2,17,12,29,8,27,18,15,8,7,19,27,138,230,243,196,,138.8
Nick Schmaltz,24,"C,LW,RW",ARI,13.55,2.54,0,13.55,2.54,0,16.08,10,24,34,9,11,24,16,146,205,24,39,84,170,183,230,,138.4
Ilya Kovalchuk,37,"LW,RW",WSH,13.99,2.48,0,13.99,2.48,0,16.46,13,17,30,6,48,25,17,10,19,32,14,126,224,237,200,,138.2
Jeff Carter,36,"C,LW,RW",LA,13.48,1.83,1.27,13.48,1.83,1.27,16.58,16,12,28,7,58,21,29,374,346,20,13,147,242,254,192,,137.8
Aaron Ekblad,24,D,FLA,19.63,1.51,2.24,19.63,1.51,2.24,23.38,7,19,26,5,42,70,30,0,0,44,32,122,274,330,157,,137.4
Jeff Petry,33,D,MON,18.74,2.26,2.06,18.74,2.26,2.06,23.06,7,19,26,7,131,72,20,0,0,44,31,118,270,326,161,,137.4
Erik Haula,29,"C,LW",FLA,12.68,2.3,0,12.68,2.3,0,14.98,16,15,31,11,39,17,27,387,326,30,22,106,174,186,228,,137
Jack Hughes,19,"C,LW",NJ,13.33,3.65,0,13.33,3.65,0,16.98,12,18,30,13,13,20,11,168,295,48,39,134,223,236,201,,136.8
Mikael Backlund,31,"C,RW",CGY,14.52,1.34,1.55,14.52,1.34,1.55,17.41,12,19,31,4,33,15,30,334,341,40,47,128,208,205,223,,136.6
Anthony Beauvillier,23,"C,LW",NYI,14.68,1.92,0,14.68,1.92,0,16.6,16,13,29,6,69,26,12,24,19,34,22,116,195,208,220,,136.6
Alexis Lafrenière,19,"LW,RW",NYR,16,2.5,0,16,2.5,0,18.5,9,20,29,7,84,43,29,80,82,30,27,114,220,233,205,,136
Alex Iafallo,27,LW,LA,14.78,2.23,1.5,14.78,2.23,1.5,18.51,12,17,29,8,42,37,13,8,11,13,15,111,204,216,214,,136
Filip Hronek,23,D,DET,18.29,2.63,2.56,18.29,2.63,2.56,23.48,7,21,28,8,93,56,34,0,0,46,26,113,237,293,175,,136
Tanner Pearson,28,LW,VAN,13.38,1.48,1.12,13.38,1.48,1.12,15.98,14,14,28,4,79,31,22,7,13,25,24,125,210,222,211,,135.4
Duncan Keith,37,D,CHI,19.04,1.86,2.55,19.04,1.86,2.55,23.45,2,22,24,5,28,103,26,0,0,45,32,100,274,330,157,,135.2
Lars Eller,31,C,WSH,12.51,1.54,2.44,12.51,1.54,2.44,16.49,13,15,28,3,46,37,36,398,388,38,36,116,203,180,231,,135
Jesper Bratt,22,"LW,RW",NJ,12.38,2.28,0,12.38,2.28,0,14.66,11,21,32,8,29,20,8,5,7,25,17,100,165,178,233,,135
Christian Dvorak,24,"C,LW",ARI,13.67,2.73,0,13.67,2.73,0,16.4,13,17,30,8,41,26,13,409,337,23,18,107,176,189,226,,134.8
Alex Tuch,24,"LW,RW",VGK,13.1,1.98,0,13.1,1.98,0,15.08,13,15,28,7,74,28,13,22,39,35,37,133,216,228,206,,134.8
Erik Gustafsson,28,D,CGY,17.59,2.72,0,17.59,2.72,0,20.31,6,22,28,10,66,59,21,0,0,34,26,104,219,275,183,,134.4
Alex Killorn,31,"LW,RW",TB,12.52,2.21,2.16,12.52,2.21,2.16,16.89,14,17,31,5,51,15,25,4,11,19,22,106,157,170,236,,134.2
Josh Morrissey,25,D,WPG,19.74,1.73,1.58,19.74,1.73,1.58,23.05,5,21,26,9,52,77,22,0,0,38,30,102,236,292,177,,134.2
Nate Schmidt,29,D,VGK,18.8,1.08,1.59,18.8,1.08,1.59,21.47,5,20,25,5,28,86,11,0,0,37,31,98,239,295,174,,134
Connor Brown,27,"LW,RW",OTT,15.19,1.52,2.51,15.19,1.52,2.51,19.23,12,17,29,4,25,28,18,28,37,27,36,115,182,194,225,,133.2
Jared McCann,24,"C,LW",PIT,13.13,1.48,1.27,13.13,1.48,1.27,15.88,11,17,28,4,63,27,21,213,261,27,27,132,200,213,218,,132.2
Nick Bonino,32,C,NSH,12.23,1.36,2.46,12.23,1.36,2.46,16.05,12,15,27,2,14,58,14,395,363,23,36,79,155,133,255,,132
Blake Coleman,29,"LW,RW",TB,13.31,0.52,2.74,13.31,0.52,2.74,16.57,15,9,24,2,167,38,43,83,113,19,42,149,228,240,199,,132
Jonathan Drouin,25,"C,LW",MON,13.44,2.52,0,13.44,2.52,0,15.97,11,20,31,8,45,13,24,75,78,29,29,113,155,168,237,,131.8
Frank Vatrano,26,,FLA,12.34,1.5,1.28,12.34,1.5,1.28,15.12,14,11,25,3,88,39,29,12,20,16,24,135,208,221,212,,131.6
Sven Baertschi,28,LW,FA,12.25,2.71,0,12.25,2.71,0,14.96,16,13,29,13,28,26,18,2,7,17,21,90,124,137,253,,131.4
Colton Parayko,27,D,STL,19.99,0.81,1.91,19.99,0.81,1.91,22.7,6,14,20,4,81,99,13,0,0,39,32,127,273,329,159,,131
Mattias Ekholm,30,D,NSH,19.06,1.27,2.73,19.06,1.27,2.73,23.05,5,19,24,4,43,79,31,0,0,43,32,110,226,282,181,,130.6
Sami Vatanen,29,D,CAR,16.63,2.8,2.01,16.63,2.8,2.01,21.44,5,18,23,10,64,87,22,0,0,36,26,109,234,290,179,,130.6
Carl Soderberg,35,"C,LW",ARI,12.57,1.93,1.27,12.57,1.93,1.27,15.77,13,14,27,5,58,36,15,233,265,17,24,110,163,176,234,,130.4
Martin Necas,22,"C,RW",CAR,12.72,2.03,0,12.72,2.03,0,14.76,13,18,31,8,58,17,17,13,34,35,21,86,106,103,271,,130
Oliver Ekman-Larsson,29,D,ARI,18.18,2.82,1.9,18.18,2.82,1.9,22.89,7,19,26,8,109,52,32,0,0,38,28,120,202,258,187,,129.8
Roope Hintz,24,"C,LW",DAL,12.45,2.01,0,12.45,2.01,0,14.46,13,15,28,10,72,28,18,179,162,30,23,106,142,155,243,,129.4
Robert Thomas,21,"C,RW",STL,13.34,1.66,0,13.34,1.66,0,15,9,24,33,7,12,13,15,110,138,25,37,80,95,92,275,,129.2
Jordan Staal,32,C,CAR,13.81,1.18,2.21,13.81,1.18,2.21,17.21,11,18,29,2,125,25,26,526,449,31,31,105,139,116,265,,129
Nick Bjugstad,28,"C,RW",PIT,13.44,1.26,0,13.44,1.26,0,14.69,14,13,27,3,86,17,28,161,172,33,32,136,169,166,240,,129
Derek Stepan,30,C,ARI,13.83,1.77,1.99,13.83,1.77,1.99,17.6,9,17,26,5,32,40,13,450,478,24,31,128,189,167,239,,128.6
Kailer Yamamoto,22,RW,EDM,15.93,0,0,15.93,0,0,15.93,12,18,30,0,88,32,15,2,1,21,32,69,91,88,279,,128.6
Matt Niskanen,34,D,PHI,17.01,1.88,2.66,17.01,1.88,2.66,21.54,6,18,24,8,99,76,27,0,0,42,26,101,196,251,193,,128.6
Craig Smith,31,RW,NSH,11.07,2.19,0,11.07,2.19,0,13.26,16,10,26,6,45,18,21,15,17,21,25,136,162,159,242,,128.4
Rasmus Ristolainen,26,D,BUF,18.49,2.35,2.37,18.49,2.35,2.37,23.21,4,20,24,8,165,73,36,0,0,38,28,112,205,261,186,,127.6
Micheal Ferland,28,"LW,RW",VAN,12.15,1.76,0,12.15,1.76,0,13.92,15,13,28,6,134,16,34,17,34,31,26,109,115,128,260,,127.2
James Neal,33,"LW,RW",EDM,12.81,2.74,0,12.81,2.74,0,15.56,15,12,27,11,63,17,15,7,14,28,22,121,132,145,248,,127
Kasperi Kapanen,24,"LW,RW",TOR,13.22,1.23,1.74,13.22,1.23,1.74,16.19,12,17,29,3,73,15,20,2,10,23,29,110,120,133,255,,127
Damon Severson,26,D,NJ,18.39,2.08,2.32,18.39,2.08,2.32,22.79,6,18,24,7,69,71,44,0,0,37,30,102,180,236,201,,126.8
Joel Armia,27,RW,MON,13.34,1.98,1.66,13.34,1.98,1.66,16.97,13,12,25,4,120,25,23,5,11,26,43,142,171,168,237,,126.4
Alex Goligoski,35,D,ARI,18.17,1.74,2.09,18.17,1.74,2.09,22,3,18,21,6,71,109,20,0,0,37,27,84,199,255,191,,126.4
Ryan Graves,25,D,COL,15.1,0,2.9,15.1,0,2.9,18.01,7,10,17,0,93,119,32,0,0,33,24,95,206,262,184,,124.6
Charlie Coyle,28,"C,RW",BOS,13.81,1.79,1.03,13.81,1.79,1.03,16.63,10,16,26,3,61,34,16,234,269,26,33,112,128,125,261,,124
Joonas Donskoi,28,"LW,RW",COL,13.26,2.02,0,13.26,2.02,0,15.28,12,15,27,4,21,28,21,4,8,22,22,98,97,109,267,,123.8
Nick Foligno,33,"C,LW,RW",CBJ,14.78,1.83,1.32,14.78,1.83,1.32,17.93,11,14,25,2,160,40,50,151,144,26,29,106,119,132,257,,123.2
Cam Fowler,29,D,ANA,18.54,2.45,1.88,18.54,2.45,1.88,22.88,5,18,23,6,26,71,19,0,0,39,29,103,159,215,216,,123
P.K. Subban,31,D,NJ,17.77,2.28,1.63,17.77,2.28,1.63,21.68,6,16,22,6,65,66,66,0,0,37,29,123,180,236,201,,123
Drake Batherson,22,"C,RW",OTT,13.41,2.43,0,13.41,2.43,0,15.84,6,23,29,14,103,35,32,9,7,18,15,79,82,79,286,,122.8
Tyler Johnson,30,"C,LW,RW",TB,12.42,1.72,0,12.42,1.72,0,14.13,13,14,27,5,42,20,14,152,149,18,11,101,80,93,274,,122.2
Adrian Kempe,24,"C,LW",LA,12.74,2.34,1.06,12.74,2.34,1.06,16.14,10,18,28,8,61,14,32,136,188,24,18,110,88,101,272,,121.6
Jake Virtanen,24,RW,VAN,12.45,1.05,0,12.45,1.05,0,13.5,13,12,25,5,100,24,36,5,11,24,34,120,107,105,270,,121.6
Chris Tierney,26,C,OTT,13.89,1.04,2.22,13.89,1.04,2.22,17.15,8,20,28,3,27,32,15,390,380,35,29,82,69,46,302,,121.2
Nino Niederreiter,28,"LW,RW",CAR,12.94,1.87,0,12.94,1.87,0,14.81,13,14,27,7,48,16,31,8,8,30,29,104,73,86,281,,121.2
Hampus Lindholm,27,D,ANA,18.63,1.62,2.88,18.63,1.62,2.88,23.13,5,16,21,6,50,80,33,0,0,47,32,104,156,212,219,,120.8
Andrew Shaw,29,"C,RW",CHI,11.99,2.12,0,11.99,2.12,0,14.11,11,16,27,5,131,21,66,115,122,26,21,100,72,69,292,,120.4
Esa Lindell,26,D,DAL,18.7,1.05,3.35,18.7,1.05,3.35,23.1,5,14,19,4,75,102,16,0,0,40,31,87,151,207,221,,120.2
Ben Chiarot,29,D,MON,19.19,0,2.77,19.19,0,2.77,21.96,5,13,18,0,131,106,44,0,0,43,28,92,160,216,214,,119.8
Vinnie Hinostroza,26,"C,RW",ARI,12.47,1.16,0.97,12.47,1.16,0.97,14.6,9,17,26,3,42,24,13,32,39,21,25,115,95,92,275,,119.6
Shayne Gostisbehere,27,D,PHI,15.59,2.71,0,15.59,2.71,0,18.31,6,17,23,10,25,58,23,0,0,29,23,106,124,179,232,,119.4
Filip Chytil,21,"C,RW",NYR,13.92,1.54,0,13.92,1.54,0,15.46,13,11,24,5,17,27,10,146,236,34,29,117,91,88,279,,119.2
Nick Ritchie,25,LW,BOS,12.58,1.66,0,12.58,1.66,0,14.24,11,16,27,6,129,21,62,3,8,25,13,94,55,68,293,,119.2
J.T. Compher,25,"C,RW",COL,12.39,2.27,2.25,12.39,2.27,2.25,16.91,10,13,23,5,30,51,20,266,297,17,18,98,94,91,277,,119
Joe Thornton,41,C,SJ,13.16,1.85,0,13.16,1.85,0,15.01,8,22,30,8,18,19,21,247,246,31,37,65,14,-9,349,,118.6
Ryan McDonagh,31,D,TB,17.12,0.57,3.07,17.12,0.57,3.07,20.76,3,16,19,2,50,111,18,0,0,35,28,70,129,185,229,,118.4
Tyler Ennis,31,"LW,RW",EDM,11.49,1.98,0,11.49,1.98,0,13.47,13,12,25,7,65,19,12,4,5,18,22,110,62,75,288,,117.6
Noah Hanifin,24,D,CGY,18.31,1.27,1.81,18.31,1.27,1.81,21.39,5,17,22,4,64,65,11,0,0,36,30,103,117,173,235,,117.6
John Marino,23,D,PIT,17.77,0.73,2.19,17.77,0.73,2.19,20.7,5,17,22,3,74,80,21,0,0,38,29,73,91,147,247,,117.6
Nolan Patrick,22,C,PHI,13.46,1.76,0,13.46,1.76,0,15.22,12,14,26,4,47,18,27,309,291,24,29,100,46,23,325,,117.2
Colin White,24,"C,RW",OTT,13.7,2.27,0,13.7,2.27,0,15.97,9,17,26,6,35,31,33,220,269,29,20,88,47,44,304,,117
Andrew Mangiapane,24,"LW,RW",CGY,12.72,0.75,0,12.72,0.75,0,13.46,14,11,25,2,61,21,16,10,20,22,29,96,36,48,301,,116.6
Marcus Johansson,30,"C,LW",BUF,13.92,2.37,0,13.92,2.37,0,16.29,9,18,27,6,28,20,19,116,185,29,19,92,37,50,299,,116.4
Danton Heinen,25,"LW,RW",ANA,12.24,2.15,0,12.24,2.15,0,14.39,9,17,26,7,31,27,11,5,6,24,21,93,46,59,295,,116.4
Devon Toews,26,D,NYI,17.82,2.09,0,17.82,2.09,0,19.9,5,18,23,6,40,55,13,0,0,34,29,102,97,153,244,,116.4
Luke Kunin,23,"C,RW",MIN,13.46,0.97,1.52,13.46,0.97,1.52,15.95,10,12,22,1,75,43,50,149,196,15,11,115,92,89,278,,116.2
Connor Murphy,27,D,CHI,18.13,0,2.76,18.13,0,2.76,20.89,4,11,15,0,130,118,24,0,0,41,28,100,163,219,213,,116.2
Adam Boqvist,20,D,CHI,14.67,2.28,0,14.67,2.28,0,16.95,5,18,23,6,48,62,9,0,0,26,21,84,74,130,259,,115.6
Denis Gurianov,23,"LW,RW",DAL,11.07,2.05,0,11.07,2.05,0,13.11,13,12,25,11,60,18,8,2,2,20,17,101,34,46,302,,115.4
Alec Martinez,33,D,VGK,18.04,1.21,1.71,18.04,1.21,1.71,20.96,3,13,16,3,57,121,21,0,0,39,26,79,132,188,227,,115.2
Scott Laughton,26,"C,LW",PHI,12.62,0,1.95,12.62,0,1.95,14.57,11,14,25,0,118,29,29,200,168,25,25,87,27,40,306,,115
Alexander Kerfoot,26,"C,LW,RW",TOR,13.11,1.41,0,13.11,1.41,0,14.52,10,16,26,5,34,30,28,170,182,26,22,75,13,25,323,,115
Kaapo Kakko,19,RW,NYR,12.82,2.61,0,12.82,2.61,0,15.43,9,18,27,13,17,10,14,4,5,19,34,105,36,33,311,,115
Ryan Dzingel,28,"LW,RW",CAR,12.23,2.1,0,12.23,2.1,0,14.33,11,15,26,7,33,20,26,13,22,20,14,89,19,31,317,,114.8
Dominik Kahun,25,"LW,RW",BUF,12.39,1.1,0,12.39,1.1,0,13.49,10,16,26,2,9,21,7,28,31,11,19,90,20,33,311,,114.4
Joel Farabee,20,"LW,RW",PHI,13.04,1.73,0,13.04,1.73,0,14.77,12,13,25,3,34,19,38,5,7,31,23,98,25,37,308,,114.2
Travis Sanheim,24,D,PHI,17.69,0.91,1.97,17.69,0.91,1.97,20.57,5,16,21,3,33,69,26,0,0,40,28,93,85,141,250,,114.2
Andrew Copp,26,"C,LW",WPG,13.59,1.24,2.1,13.59,1.24,2.1,16.93,10,14,24,1,61,30,10,250,225,25,28,98,37,49,300,,113.6
Samuel Girard,22,D,COL,19.01,2.36,0,19.01,2.36,0,21.37,2,20,22,9,40,69,12,0,0,36,29,90,83,139,252,,113.6
Mike Green,35,D,EDM,18.25,2.11,0,18.25,2.11,0,20.36,4,17,21,5,66,68,35,0,0,36,26,96,85,141,250,,113.4
Pavel Zacha,23,"C,LW",NJ,12.72,1.8,2.2,12.72,1.8,2.2,16.72,9,17,26,6,58,18,18,280,340,31,31,93,13,26,321,,112.8
Josh Anderson,26,RW,MON,12.92,1.68,1.31,12.92,1.68,1.31,15.9,12,9,21,2,129,24,39,12,26,20,26,141,82,80,285,,112.8
Zach Sanford,26,"C,LW",STL,12.44,0.73,0,12.44,0.73,0,13.16,12,12,24,2,85,29,28,4,7,14,20,85,7,19,327,,112.6
Erik Johnson,32,D,COL,17.42,0,2.94,17.42,0,2.94,20.36,5,11,16,0,90,102,24,0,0,33,28,93,110,165,241,,112.4
Brady Skjei,26,D,CAR,18.15,0,2.6,18.15,0,2.6,20.75,5,13,18,0,97,83,34,0,0,37,29,100,98,153,244,,112.2
Yanni Gourde,29,"LW,RW",TB,11.77,0.7,1.56,11.77,0.7,1.56,14.03,10,16,26,4,53,18,36,85,77,16,36,83,-10,3,336,,111.8
Brett Connolly,28,"LW,RW",FLA,12.86,1.16,0,12.86,1.16,0,14.02,13,12,25,2,48,16,20,7,11,17,21,86,-14,-2,340,,111.6
Kirby Dach,20,C,CHI,13.24,1.88,0,13.24,1.88,0,15.12,10,14,24,4,29,22,22,68,128,15,36,103,21,-2,340,,111.4
Tyler Myers,30,D,VAN,17.95,1.16,1.83,17.95,1.16,1.83,20.94,4,14,18,4,69,82,40,0,0,36,29,101,92,148,246,,111
Brett Pesce,26,D,CAR,18.3,0,3.04,18.3,0,3.04,21.35,4,14,18,0,32,90,24,0,0,37,31,85,78,134,254,,111
Josh Leivo,27,"LW,RW",VAN,12.79,1.86,0,12.79,1.86,0,14.66,10,14,24,5,22,16,12,19,14,25,24,111,20,33,311,,110.6
Alex Galchenyuk,26,"C,LW",MIN,10.9,1.95,0,10.9,1.95,0,12.85,10,15,25,9,39,18,16,69,73,23,9,90,-10,3,336,,110.2
Calle Jarnkrok,29,"LW,RW",NSH,12.4,1.54,1.64,12.4,1.54,1.64,15.58,10,14,24,4,27,20,13,85,73,13,17,100,5,18,328,,110
Tyler Bozak,34,"C,RW",STL,12.02,1.59,1.34,12.02,1.59,1.34,14.95,9,15,24,4,27,26,12,324,265,18,24,92,1,-2,340,,109.8
Robby Fabbri,25,"LW,RW",DET,13.31,2.6,0,13.31,2.6,0,15.92,11,13,24,7,66,14,16,17,30,29,10,106,4,17,330,,109.8
Wayne Simmonds,32,RW,BUF,12.03,2.52,0,12.03,2.52,0,14.55,12,11,23,7,104,24,52,16,26,18,21,96,-1,-4,343,,109.8
Kevin Shattenkirk,32,D,TB,16.66,1.42,0,16.66,1.42,0,18.07,3,18,21,5,50,62,29,0,0,33,26,95,56,112,266,,109.8
Ryan Murray,27,D,CBJ,17.19,0,2.25,17.19,0,2.25,19.44,3,15,18,0,29,100,10,0,0,33,28,63,50,106,269,,109.6
Mikko Koivu,37,C,MIN,12.24,1.72,1.59,12.24,1.72,1.59,15.55,7,17,24,8,23,32,28,436,387,13,30,83,-11,-33,369,,108.4
Ian Cole,31,D,COL,15.15,0,2.69,15.15,0,2.69,17.84,3,13,16,0,75,108,45,0,0,32,23,71,63,119,263,,108.4
Bryan Little,33,"C,RW",WPG,12.98,1.25,1.14,12.98,1.25,1.14,15.36,9,16,25,3,36,20,18,383,321,14,23,81,-32,-34,371,,108.2
Kyle Turris,31,C,NSH,12.31,2.16,0,12.31,2.16,0,14.46,7,19,26,9,15,17,21,236,242,26,18,79,-38,-60,400,,107.6
Zach Aston-Reese,26,"LW,RW",PIT,12.12,0.65,1.74,12.12,0.65,1.74,14.51,11,10,21,1,171,34,27,7,16,19,21,99,0,13,331,,107.4
Miles Wood,25,LW,NJ,12.32,0.9,0,12.32,0.9,0,13.23,11,10,21,1,79,21,56,1,2,23,14,125,23,36,309,,107.4
Brent Seabrook,35,D,CHI,15.43,1.43,2.13,15.43,1.43,2.13,18.99,4,10,14,5,84,112,19,0,0,35,25,83,76,132,257,,107.4
Bobby Ryan,33,"LW,RW",OTT,10.88,2.36,0,10.88,2.36,0,13.24,10,12,22,4,80,31,49,7,7,31,27,93,-12,1,339,,107
Artturi Lehkonen,25,"LW,RW",MON,12.89,0,2.49,12.89,0,2.49,15.38,10,11,21,0,84,27,20,7,12,17,26,116,16,29,319,,107
Travis Hamonic,30,D,CGY,17.57,0,2.98,17.57,0,2.98,20.54,3,10,13,0,47,119,35,0,0,39,28,87,88,144,249,,107
Radek Faksa,27,C,DAL,12.98,1.28,1.55,12.98,1.28,1.55,15.81,11,10,21,3,69,38,36,361,356,20,27,88,-15,-37,374,,106.8
Dmitry Orlov,29,D,WSH,19.51,1.19,1.08,19.51,1.19,1.08,21.78,3,17,20,2,87,67,27,0,0,38,31,85,28,83,283,,106.8
MacKenzie Weegar,27,D,FLA,17.54,0,1.75,17.54,0,1.75,19.3,5,11,16,0,108,92,44,0,0,36,26,85,51,107,268,,106.8
Jesperi Kotkaniemi,20,C,MON,12,2.07,0,12,2.07,0,14.07,10,12,22,4,72,27,38,227,288,37,23,99,-11,-33,369,,106.6
Patrick Marleau,41,"C,LW,RW",PIT,13.66,1.35,0,13.66,1.35,0,15,12,10,22,3,48,21,12,52,45,14,21,101,-18,-5,345,,106.6
Zack Kassian,30,RW,EDM,14.58,0.48,1.37,14.58,0.48,1.37,16.43,11,13,24,0,145,13,63,1,5,41,27,91,-40,-43,382,,106.4
Justin Schultz,30,D,PIT,16.9,2.34,0,16.9,2.34,0,19.24,3,16,19,8,42,67,7,0,0,32,25,98,44,99,273,,106.4
Sonny Milano,24,LW,ANA,11.83,1.35,0,11.83,1.35,0,13.17,10,15,25,3,28,13,24,0,1,26,21,80,-56,-43,382,,106.2
Sam Steel,22,C,ANA,13.69,2.01,0,13.69,2.01,0,15.7,9,15,24,8,21,21,20,318,308,31,21,83,-42,-64,404,,106
Artem Anisimov,32,"C,LW",OTT,11.96,1.4,1.25,11.96,1.4,1.25,14.61,13,8,21,4,11,28,11,231,248,16,25,93,-29,-16,358,,105.8
Corey Perry,35,RW,DAL,11.42,1.95,0,11.42,1.95,0,13.37,9,14,23,7,48,27,63,2,6,23,16,85,-34,-37,374,,105.8
Justin Faulk,28,D,STL,18.1,1.39,1.33,18.1,1.39,1.33,20.82,5,12,17,4,81,66,29,0,0,39,29,117,62,118,264,,105.8
Calvin de Haan,29,D,CHI,16.83,0,2.64,16.83,0,2.64,19.47,2,12,14,0,148,115,15,0,0,34,25,78,64,120,262,,105.6
Kevin Stenlund,24,"C,RW",CBJ,12.21,1.93,0,12.21,1.93,0,14.14,10,10,20,8,34,39,11,95,134,16,11,99,-5,-8,347,,105.4
Vladislav Namestnikov,28,"LW,RW",COL,11.75,1.44,1.77,11.75,1.44,1.77,14.97,10,11,21,3,83,39,40,50,49,24,19,84,-27,-14,353,,105.4
Alexander Steen,36,"LW,RW",STL,11.23,1.37,2.18,11.23,1.37,2.18,14.77,8,13,21,4,30,43,12,9,12,13,20,85,-18,-6,346,,105.2
Nikolay Goldobin,25,"LW,RW",VAN,12.23,2.63,0,12.23,2.63,0,14.86,8,16,24,7,15,14,13,1,2,27,16,98,-31,-19,360,,105.2
Daniel Sprong,23,"LW,RW",WSH,10.97,1.22,0,10.97,1.22,0,12.19,12,10,22,4,30,12,10,5,10,28,16,110,-27,-14,353,,104.8
Jesper Fast,29,RW,NYR,13.81,0,2.25,13.81,0,2.25,16.06,9,13,22,0,104,41,18,7,14,25,19,63,-62,-64,404,,104
Mike Matheson,26,D,FLA,16.91,0.63,1.64,16.91,0.63,1.64,19.18,6,11,17,2,41,68,22,0,0,37,28,98,22,78,287,,103.8
Lawson Crouse,23,LW,ARI,12.28,0,1.49,12.28,0,1.49,13.78,11,10,21,0,179,27,19,22,23,18,22,94,-39,-26,363,,103.6
Sean Walker,26,D,LA,16.57,0.74,1.28,16.57,0.74,1.28,18.59,4,14,18,3,68,67,21,0,0,36,25,94,18,74,290,,103.6
Jonas Brodin,27,D,MIN,18.87,0.49,2.15,18.87,0.49,2.15,21.51,2,14,16,1,33,95,20,0,0,35,29,78,29,85,282,,103.6
Dominik Simon,26,"LW,RW",PIT,13.46,0.63,0,13.46,0.63,0,14.08,8,15,23,1,60,21,15,11,19,27,31,90,-47,-34,371,,103.4
Emil Bemstrom,21,"C,RW",CBJ,11.38,1.59,0,11.38,1.59,0,12.97,10,12,22,8,54,18,9,5,10,17,10,101,-38,-41,378,,103.4
Warren Foegele,24,"LW,RW",CAR,12.46,0,1.21,12.46,0,1.21,13.67,11,11,22,0,66,15,27,13,14,24,32,100,-47,-35,373,,103
Nick Cousins,27,"C,LW,RW",VGK,11.96,1.41,0,11.96,1.41,0,13.37,9,12,21,4,81,28,29,69,81,19,23,98,-34,-21,361,,102.8
Paul Byron,31,"LW,RW",MON,11.96,0.7,1.72,11.96,0.7,1.72,14.38,10,12,22,1,87,33,8,10,19,22,21,68,-73,-60,400,,102.8
